               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10834,            0.027243,                   0,           0.0015929,             0.47788,           0.0022397,          0.00055647,            0.082817,            0.015955,                   0,             0.07075,             0.00325,             0.00325
                   1,            0.086552,            0.021345,                   0,           0.0026254,             0.78761,            0.025224,           0.0053306,            0.083481,            0.010672,                   0,            0.040685,           0.0065182,           0.0065182
                   2,            0.079695,            0.017733,                   0,           0.0094917,             0.86726,             0.18923,            0.041035,            0.084724,           0.0086727,                   0,            0.010554,           0.0097203,           0.0097203
                   3,            0.074132,            0.017982,                   0,             0.02433,             0.87611,             0.16466,            0.042151,            0.071138,           0.0094416,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.064077,            0.019013,                   0,             0.59348,             0.36283,             0.42449,             0.11801,            0.058096,           0.0099231,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.058579,            0.017171,                   0,             0.48775,             0.44248,             0.47412,             0.16884,            0.052331,           0.0097772,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.055088,            0.016479,                   0,             0.56752,             0.58407,             0.60948,              0.1994,              0.0509,            0.009122,                   0,            0.009505,            0.009505,            0.009505
                   7,             0.05363,            0.014648,                   0,             0.69855,             0.61523,             0.71591,             0.27697,            0.045188,           0.0086632,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.050451,            0.015077,                   0,              0.7328,             0.67958,             0.69756,              0.3162,            0.044515,           0.0079627,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.050085,            0.014058,                   0,             0.70902,             0.75472,             0.76303,             0.29346,            0.044957,           0.0073635,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.046118,            0.012992,                   0,             0.67895,             0.75221,              0.7895,             0.37473,            0.041778,           0.0068423,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.045426,            0.012951,                   0,             0.85005,             0.80531,             0.86209,             0.38222,             0.04071,            0.006593,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.043563,            0.012136,                   0,             0.78237,             0.82301,             0.78704,             0.34129,            0.043806,           0.0061038,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.044398,            0.011121,                   0,             0.88657,             0.83004,             0.87023,             0.45319,            0.038374,           0.0059658,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.041702,            0.010524,                   0,              0.8478,             0.79646,             0.85314,             0.36427,            0.042549,           0.0058182,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.041951,            0.010982,                   0,              0.9072,             0.81416,             0.91935,             0.45757,            0.039472,           0.0057061,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.040998,            0.010164,                   0,             0.86706,             0.86578,             0.91816,             0.47503,            0.034818,           0.0055994,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.038981,            0.010043,                   0,             0.79153,             0.83186,             0.86368,              0.4024,            0.036921,           0.0057536,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.038522,           0.0096159,                   0,             0.88608,             0.89381,             0.94327,             0.45905,            0.035864,           0.0053997,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.038045,           0.0097297,                   0,             0.84006,             0.88317,             0.91824,                0.43,            0.039618,           0.0053124,                   0,            0.008218,            0.008218,            0.008218
